observable_id,pauli_string,group_id,circuit_index,bits,invert
P0440,Z0 Z6,WT_TMP_G0009,0,0;6,false
P0706,Z0 Z7,WT_TMP_G0009,0,0;7,false
P0797,Z3 Z6,WT_TMP_G0009,0,3;6,false
P1187,Y1 Z2 Z3 Z4 Z5 Z6 Z7 X8 X9 Y10,WT_TMP_G0009,0,1;2;3;4;5;6;7;8;9;10,false
P1297,X9 X11,WT_TMP_G0009,0,9;11,false
P1311,Z0 Z3,WT_TMP_G0009,0,0;3,false
P1324,Z0 Z2,WT_TMP_G0009,0,0;2,false
P1533,Z0 Z5,WT_TMP_G0009,0,0;5,false
P1574,Z0 Z4,WT_TMP_G0009,0,0;4,false
P1575,Z2 Z3,WT_TMP_G0009,0,2;3,false
P1578,Z0,WT_TMP_G0009,0,0,false
P1322,Y0 X1 X2 Y3,WT_TMP_G0010,0,0;1;2;3,false
P1357,X1 X2 Y3 Y4,WT_TMP_G0010,0,1;2;3;4,false
P1367,X2 Y3 Y4 Z5 Z6 Z7 Z8 Z9 Z10 X11,WT_TMP_G0010,0,2;3;4;5;6;7;8;9;10;11,false
P1131,Y6 Z7 Z9 Y10,WT_TMP_G0011,0,6;7;9;10,false
P1234,X0 Z1 Y2 Y6 Z7 X8,WT_TMP_G0011,0,0;1;2;6;7;8,false
P1411,X0 Z1 Z3 X4,WT_TMP_G0011,0,0;1;3;4,false
P1463,X4 X5 Y10 Y11,WT_TMP_G0011,0,4;5;10;11,false
P1558,Y2 Z3 X4 X8 Z9 Y10,WT_TMP_G0011,0,2;3;4;8;9;10,false
P0694,X6 Z7 X8 Z9,WT_TMP_G0012,0,6;7;8;9,false
P1046,Z2 X6 Z7 X8,WT_TMP_G0012,0,2;6;7;8,false
P1560,Y0 Z1 Z2 Z3 Z4 Y5 X8 Z9 Z10 X11,WT_TMP_G0012,0,0;1;2;3;4;5;8;9;10;11,false
P0615,Y3 Z4 Z5 Z6 Z7 Z8 Z10 Y11,WT_TMP_G0013,0,3;4;5;6;7;8;10;11,false
P0663,Y0 Z1 Y2 Z8,WT_TMP_G0013,0,0;1;2;8,false
