orbital,energy_hartree,occupation,ligand_population
206,-0.2622671510879906,2.0,0.9704907562654347
207,-0.252494418169686,2.0,0.000589032528701125
208,-0.23708808202493126,2.0,0.0001880500810321739
209,-0.22764815978871167,2.0,0.018602152698111142
210,-0.20884677149064168,2.0,0.00014033816409463658
211,-0.20427488142074665,2.0,0.9958175914547172
212,-0.20349728977520232,2.0,0.0019263364779105304
213,-0.18653796615360263,2.0,0.9916069410293611
214,-0.17011057989187472,2.0,0.019678610724408754
215,-0.1244116533070243,2.0,0.027541709457343896
216,-0.11630920898456254,2.0,0.013665701645931476
217,-0.07182425317385732,2.0,0.0011536779903515832
218,0.10065754012150396,0.0,5.947738685837715e-08
219,0.19596112155616785,0.0,0.9966420561248501
220,0.2445062319337309,0.0,0.13723861434266738
221,0.2509431938526856,0.0,0.8663328540941988
222,0.2881620600049485,0.0,4.344597817133364e-06
223,0.30773554081301957,0.0,0.23508483832556443
224,0.3085154149566331,0.0,0.998857030515365
225,0.3093637879626884,0.0,0.7722627681961173
226,0.3463589359889071,0.0,5.30377130244299e-05
227,0.3636715252530548,0.0,0.002129631725617431
228,0.37224727949782577,0.0,2.1511409247397856e-05
229,0.4025387747467605,0.0,1.6359683716076876e-07
230,0.43748715313071684,0.0,0.9961429230816145
231,0.4414876250126598,0.0,1.2339860998239005e-05
232,0.4616586655954761,0.0,4.330920030819683e-07
233,0.4773710576432524,0.0,0.02322926465516231
234,0.49212075100287067,0.0,0.00013042525964507504
235,0.5054861259615719,0.0,0.045780566164461606
236,0.515614007716301,0.0,0.9851950472208164
237,0.5252286963156098,0.0,0.006581463787847673
238,0.5301581122028864,0.0,0.9792301104307272
239,0.5383644521756532,0.0,0.947708138145069
240,0.5449857766589887,0.0,0.02023241056571524
241,0.5611320971567735,0.0,0.0019020294166590902
242,0.5718708307905609,0.0,0.9865567878247611
243,0.5787111650689789,0.0,0.006961808125123362
244,0.5828680021601691,0.0,0.9651616147347476
245,0.5918367353024321,0.0,0.0029017136702543184
246,0.5972456669044721,0.0,0.7082959118689865
247,0.6090639122648045,0.0,0.006443691122994777
248,0.6099897353309998,0.0,0.04267085137260121
249,0.6111495409579235,0.0,0.3824772099824798
250,0.6197708077924788,0.0,0.2877631376677429
251,0.6212495087481553,0.0,0.22235724344966565
252,0.6263029324087098,0.0,0.29353533267137016
253,0.6332270732156386,0.0,0.6668889543579152
254,0.6359448151108942,0.0,0.17733408716777738
255,0.6408915887660711,0.0,0.22892473563592913
256,0.6442440600798678,0.0,0.9296831391788978
257,0.6500238037662014,0.0,0.30176176380084707
258,0.6559082253895511,0.0,0.4461813135993022
259,0.658173145145229,0.0,0.24313042347312125
260,0.6624161320916342,0.0,0.06692704227545225
